title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"How do you get a picky eater to eat? [Video Guide]","how-do-you-get-a-picky-eater-to-eat-video-guide-1140","Picky eater arguments at the dinner table might be getting old. See what strategies are backed by research.","FXMed Team","General Wellness","5 min read","draft","","",""
"How to break up with your social network at bedtime [Video Guide]","how-to-break-up-with-your-social-network-at-bedtime-video-guide-1141","Can't stop scrolling before bed? Discover how to break that social media habit for better sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"3 ways to protect your knees for the basketball court [Video Guide]","3-ways-to-protect-your-knees-for-the-basketball-court-video-guide-1142","Want to stay healthy on the basketball court? Discover the best strategies for keeping your knees feeling good.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 essential tips for your first sprint triathlon [Video Guide]","3-essential-tips-for-your-first-sprint-triathlon-video-guide-1143","Feeling unsure about your triathlon training? Up your game with tips from Mayo Clinic experts.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"3 steps to improve your golf swing [Video Guide]","3-steps-to-improve-your-golf-swing-video-guide-1144","Get to the top of your golf game with these tips from Mayo Clinic experts.","FXMed Team","General Wellness","5 min read","draft","","",""
"Help your young athlete heal after concussion [Video Guide]","help-your-young-athlete-heal-after-concussion-video-guide-1145","Watch to discover what the experts recommend for a young athlete healing from a concussion.","FXMed Team","General Wellness","5 min read","draft","","",""
"What's the best strategy to relieve heel pain? [Video Guide]","whats-the-best-strategy-to-relieve-heel-pain-video-guide-1146","Heel pain keeping you off your feet? Follow these steps that you can do from home.","FXMed Team","Pain Management","5 min read","draft","","",""
"What's the best way to improve your running time? [Video Guide]","whats-the-best-way-to-improve-your-running-time-video-guide-1147","Feel like you haven't reached your running potential? Try these strategies for more speed.","FXMed Team","Pain Management","5 min read","draft","","",""
"What's a good snacking strategy for weight loss? [Video Guide]","whats-a-good-snacking-strategy-for-weight-loss-video-guide-1148","Let's face it: You get hungry between meals sometimes. When the snack urge hits, try these tips to reach your weight-reduction goals.","FXMed Team","Weight Management","5 min read","draft","","",""
"Tai chi helps prevent falls [Video Guide]","tai-chi-helps-prevent-falls-video-guide-1149","Exercise is important for everyday health, but tai chi exercise in particular helps prevent falls and broken bones in seniors.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Lose weight by just standing [Video Guide]","lose-weight-by-just-standing-video-guide-1150","In a busy world where eating healthier and exercising regularly are often easier said than done, the key to losing weight may simply be standing in place.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Make protecting yourself from injury child's play [Video Guide]","make-protecting-yourself-from-injury-childs-play-video-guide-1151","As we age, most people slow down a bit to protect themselves from injury. Turns out, that may be the opposite of what they should do.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 tips to reduce food waste [Video Guide]","3-tips-to-reduce-food-waste-video-guide-1152","Americans threw away roughly 90 billion pounds of food last year. All that waste hits the pocketbook hard. Use these three tips to cut down on food waste.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Eating for a healthy colon [Video Guide]","eating-for-a-healthy-colon-video-guide-1153","According to the Centers for Disease Control and Prevention, colorectal cancer is the second-leading cause of death in cancers that affect men and women. The colon is the final part of your digestive tract. The food you eat is an important factor in the health of your colon.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"How much calcium do you need? [Video Guide]","how-much-calcium-do-you-need-video-guide-1154","Getting the right amount of calcium every day is important for keeping your bones healthy throughout your life. But what is the right amount? And when should you consider taking a calcium supplement?","FXMed Team","General Wellness","5 min read","draft","","",""
"How to eat healthy while on the run [Video Guide]","how-to-eat-healthy-while-on-the-run-video-guide-1155","In today's fast-paced world, sitting down for a healthy family meal isn't always an option. But eating while traveling doesn't have to mean unhealthy eating.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"The difference between micronutrients and macronutrients [Video Guide]","the-difference-between-micronutrients-and-macronutrients-video-guide-1156","Ever wondered what the difference is between micronutrients and macronutrients? Have you even heard of micronutrients and macronutrients? Both terms are essentially categories to classify foods to assist you with keep track of what you eat.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"What are ultraprocessed foods [Video Guide]","what-are-ultraprocessed-foods-video-guide-1157","Americans are constantly while traveling. And their diets are suffering because of it, as they're sacrificing nutrition for convenience. Ultraprocessed foods often become the go-to diet for families on the run. But what is an ultraprocessed food?","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Which sugars won't pack on pounds [Video Guide]","which-sugars-wont-pack-on-pounds-video-guide-1158","Make sure you're picking the right sweets with the right kind of sugars to steer clear of gaining weight.","FXMed Team","General Wellness","5 min read","draft","","",""
"Why breakfast may be key to trimming your belly [Video Guide]","why-breakfast-may-be-key-to-trimming-your-belly-video-guide-1159","If you're wanting to lose pounds and your belly, research shows that breakfast may be your best friend.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 tips for kids to get better sleep [Video Guide]","3-tips-for-kids-to-get-better-sleep-video-guide-1160","Poor sleep quality is a factor in the increasing rate of childhood obesity in the U.S. That's according to a recent study presented at a special conference on obesity and cancer by the American Association for Cancer Research. So what is the correct sleep duration for kids and how do you help them get a better night's sleep?","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Daytime sleepiness linked to alzheimer's [Video Guide]","daytime-sleepiness-linked-to-alzheimers-video-guide-1161","Do you catch yourself yawning during the day and yearning for an afternoon nap? You could be at more risk for Alzheimer's disease. A recent study published in JAMA Neurology found a potential link between excessive daytime sleepiness and the memory loss disease. Researchers took a look at imaging scans of the brains of several hundred patients from the Mayo Clinic Study of Aging.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How losing an hour of sleep can affect your health [Video Guide]","how-losing-an-hour-of-sleep-can-affect-your-health-video-guide-1162","Before daylight saving time kicks in, help your body adjust to losing an hour of sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"5 signs your teenager is battling depression [Video Guide]","5-signs-your-teenager-is-battling-depression-video-guide-1163","Teens can be moody. But research shows that ongoing moodiness and other symptoms may be signs of depression.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"The key to happiness in 2 simple formulas [Video Guide]","the-key-to-happiness-in-2-simple-formulas-video-guide-1164","Two simple formulas can help lead you to happiness.","FXMed Team","General Wellness","5 min read","draft","","",""
"Why social media is a bad place to measure your self-worth [Video Guide]","why-social-media-is-a-bad-place-to-measure-your-self-worth-video-guide-1165","Social media can be a wonderful communication tool. However, most people don't post negative things, and we end up comparing our worst with other people's best -; which is misleading.","FXMed Team","General Wellness","5 min read","draft","","",""
"Is vaping a gateway to smoking? [Video Guide]","is-vaping-a-gateway-to-smoking-video-guide-1166","An annual survey by the Minnesota Department of Health recently revealed that 1 in 5 high school students use e-cigarettes. The survey also showed youth tobacco use is rising for the first time in 17 years. Are the two connected?","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"3 tips on what to do if your child is addicted to gaming [Video Guide]","3-tips-on-what-to-do-if-your-child-is-addicted-to-gaming-video-guide-1167","Gaming addiction is now considered a mental health disorder. Look for signs of addiction in your child and use these tips to help break the gaming addiction.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"5 signs your teen might have an eating disorder [Video Guide]","5-signs-your-teen-might-have-an-eating-disorder-video-guide-1168","A Mayo Clinic child psychologist who specializes in treating eating disorders breaks down five signs your teen might have an eating disorder.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"After school snack ideas [Video Guide]","after-school-snack-ideas-video-guide-1169","Three tips to ensure the food your kids grab as they come in the door is healthy.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Are there health benefits to taking turmeric? [Video Guide]","are-there-health-benefits-to-taking-turmeric-video-guide-1170","Curcumin or turmeric has anti-inflammatory properties that have been associated with a positive effect on various diseases.","FXMed Team","General Wellness","5 min read","draft","","",""
"Breaking down types of eating disorders [Video Guide]","breaking-down-types-of-eating-disorders-video-guide-1171","A Mayo Clinic child psychologist describes behaviors of common eating disorders.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Fueling for school [Video Guide]","fueling-for-school-video-guide-1172","A healthy breakfast helps improve a student's mood and level of concentration.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How to deal with extreme picky eating in kids [Video Guide]","how-to-deal-with-extreme-picky-eating-in-kids-video-guide-1173","Is your child just a really picky eater? Or is it a sign of an eating disorder?","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"What to do if your teen has an eating disorder [Video Guide]","what-to-do-if-your-teen-has-an-eating-disorder-video-guide-1174","1 in 5 teens with severe eating disorders will die - mostly from suicide. Even mild disorders can lead to mental and physical distress.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Are women with hot flashes at risk of sleep apnea? [Video Guide]","are-women-with-hot-flashes-at-risk-of-sleep-apnea-video-guide-1175","Menopausal symptoms can be annoying, but did you ever think they could be life-threatening? A Mayo Clinic study found some common menopausal symptoms may be linked to obstructive sleep apnea.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Coconut oil – perfect, poison or somewhere in between? [Video Guide]","coconut-oil-perfect-poison-or-somewhere-in-between-video-guide-1176","If you search for information about coconut oil online, you'll see it's one of the best things you can put in your body. Or one of the worst. Discover if coconut oil right for you.","FXMed Team","General Wellness","5 min read","draft","","",""
"Get the facts on type 2 diabetes [Video Guide]","get-the-facts-on-type-2-diabetes-video-guide-1177","Type 2 diabetes is on the rise. Lifestyle choices, such as eating right, exercising and losing weight, can help prevent and even manage the chronic condition. But unhealthy choices can be dangerous, especially if you have a predisposition for the disease.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Heart-healthier choices at fast-food restaurants [Video Guide]","heart-healthier-choices-at-fast-food-restaurants-video-guide-1178","More than 36 percent of American adults consume fast food on a given day. But eating for convenience doesn't mean you have to sacrifice nutrition if you make the right dining decisions.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"How much screen time is too much for kids? [Video Guide]","how-much-screen-time-is-too-much-for-kids-video-guide-1179","For some parents and caregivers, limiting their kids' screen time isn't easy. Even though toddlers through teens may want to spend chunks of their day in front of a screen, too much screen time is not healthy.","FXMed Team","General Wellness","5 min read","draft","","",""
"Lack of sleep worsens health issues [Video Guide]","lack-of-sleep-worsens-health-issues-video-guide-1180","According to a Mayo Clinic cardiologist and sleep specialist, not getting enough sleep can negatively affect your health.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How to get calcium without dairy products [Video Guide]","how-to-get-calcium-without-dairy-products-video-guide-1181","There are nondairy options to get calcium in your diet. And some of them might surprise you.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Signs of a sleep disorder [Video Guide]","signs-of-a-sleep-disorder-video-guide-1182","Research shows proper sleep is essential for good health. Some symptoms of a sleep disorder include daytime sleepiness, irritability, obesity, erectile dysfunction, depression and certain heart-related conditions.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"The perks of pumpkin in your diet [Video Guide]","the-perks-of-pumpkin-in-your-diet-video-guide-1183","Pumpkin is more than just flavoring for your coffee. Pumpkin offers a great amount of vitamins and nutrients.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"What are your kids drinking? [Video Guide]","what-are-your-kids-drinking-video-guide-1184","Not all children in the U.S. are drinking healthy beverages. But the number of kids who are making healthy choices might surprise you.","FXMed Team","General Wellness","5 min read","draft","","",""
"What is the 'microbiome,' and how does it affect your weight? [Video Guide]","what-is-the-microbiome-and-how-does-it-affect-your-weight-video-guide-1185","The bacteria inside your gut are specific to you and play an important role in keeping you healthy.","FXMed Team","Digestive Health","5 min read","draft","","",""
"What you need to know about copd [Video Guide]","what-you-need-to-know-about-copd-video-guide-1186","If you know someone who smokes, you probably know someone with COPD. Shortness of breath is the most common symptom, along with cough and sputum production.","FXMed Team","General Wellness","5 min read","draft","","",""
"Which foods are best for keeping you full? [Video Guide]","which-foods-are-best-for-keeping-you-full-video-guide-1187","Eating foods that can keep you full have a big effect on your health and your weight.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Why a racquet and some friends may be the key to a longer life [Video Guide]","why-a-racquet-and-some-friends-may-be-the-key-to-a-longer-life-video-guide-1188","A recent study shows people who play social sports like tennis or soccer tend to live longer than those who participate in individual sports like swimming or running.","FXMed Team","General Wellness","5 min read","draft","","",""
"Why kids need to play [Video Guide]","why-kids-need-to-play-video-guide-1189","Unstructured play allows for proper development and relieves toxic stress.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Why southern food is linked to high blood pressure [Video Guide]","why-southern-food-is-linked-to-high-blood-pressure-video-guide-1190","Forty-one percent of African-Americans can have high blood pressure, compared with 27 percent of their white counterparts or Caucasians. Studies show that a traditional South diet is the cause.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Why the keto diet is more hype than help for most people [Video Guide]","why-the-keto-diet-is-more-hype-than-help-for-most-people-video-guide-1191","The keto diet may assist you with drop weight. The problem is what happens after most people lose the initial weight.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"How to tell if your teen is moody versus depressed [Video Guide]","how-to-tell-if-your-teen-is-moody-versus-depressed-video-guide-1192","Tips to determine if your teen is depressed.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"3 tips to keep the holidays from being depressing [Video Guide]","3-tips-to-keep-the-holidays-from-being-depressing-video-guide-1193","A Mayo Clinic counselor has some tips to take back your holiday happiness.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 tips to reduce holiday stress [Video Guide]","3-tips-to-reduce-holiday-stress-video-guide-1194","A Mayo Clinic neuropsychologist offers three tips to help deal with holiday stress so you can concentrate on what's most important.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Flaxseed – tiny seed, nutritional powerhouse [Video Guide]","flaxseed-tiny-seed-nutritional-powerhouse-video-guide-1195","One way to lower your cholesterol is to add a daily dose of a tiny seed with a lot of nutritional power to your diet.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Tips on how to make healthier pancakes [Video Guide]","tips-on-how-to-make-healthier-pancakes-video-guide-1196","An executive chef with the Mayo Clinic Healthy Living Program shows step by step how to use flaxseed to make a healthier version of banana pancakes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Why the 'bulletproof coffee' trend isn't a magic bullet [Video Guide]","why-the-bulletproof-coffee-trend-isnt-a-magic-bullet-video-guide-1197","Blending butter, coconut oil and coffee together is called ""butter coffee"" or ""bulletproof coffee."" But the trend has some holes in it.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 tips to ditch junk food for a healthier diet [Video Guide]","3-tips-to-ditch-junk-food-for-a-healthier-diet-video-guide-1198","Making changes in your dietary behaviors can assist you with switch from consuming highly processed junk food to healthier whole foods.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"New fitness guidelines for the new year [Video Guide]","new-fitness-guidelines-for-the-new-year-video-guide-1199","The Department of Health and Human Services recently released new guidelines for physical activity.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Signs that stress is becoming toxic [Video Guide]","signs-that-stress-is-becoming-toxic-video-guide-1200","Small amounts of stress can motivate you to face daily challenges. But when stress becomes too much to manage, it can be unhealthy.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"What happens to your body when you're allergic to food? [Video Guide]","what-happens-to-your-body-when-youre-allergic-to-food-video-guide-1201","A Mayo Clinic pediatric allergist and immunologist explains how food allergies happen and what happens to your body when you have an allergic reaction to food.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"What is mindfulness? [Video Guide]","what-is-mindfulness-video-guide-1202","Practicing mindfulness may help lower your stress level and make you happier.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"What you need to know about cholesterol [Video Guide]","what-you-need-to-know-about-cholesterol-video-guide-1203","Understand what cholesterol is, why it's related to heart problems, and what you can do about it.","FXMed Team","Heart Health","5 min read","draft","","",""
"It's hard to beat the health benefits of beets [Video Guide]","its-hard-to-beat-the-health-benefits-of-beets-video-guide-1204","Beats are loaded with nutrients that benefit the heart and digestion.","FXMed Team","Digestive Health","5 min read","draft","","",""
"Mental health benefits of tidying up [Video Guide]","mental-health-benefits-of-tidying-up-video-guide-1205","Clearing out the clutter has real health benefits.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Sifting through flour options [Video Guide]","sifting-through-flour-options-video-guide-1206","Flour offers more variety and flavor than most people realize.","FXMed Team","General Wellness","5 min read","draft","","",""
"The diet that science shows could help you live longer [Video Guide]","the-diet-that-science-shows-could-help-you-live-longer-video-guide-1207","The Mediterranean Diet stands out for its proven ability to help people live longer.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Tips for a heart-healthy sandwich [Video Guide]","tips-for-a-heart-healthy-sandwich-video-guide-1208","Discover how what you pack with your lunch may help balance what you pack in your sandwich.","FXMed Team","Heart Health","5 min read","draft","","",""
"Which snacks can trick your body into being satisfied on fewer calories? [Video Guide]","which-snacks-can-trick-your-body-into-being-satisfied-on-fewer-calories-video-guide-1209","Stock up on these foods to trick your body into feeling full quicker and for a longer period of time.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Why cancer patients should stop smoking [Video Guide]","why-cancer-patients-should-stop-smoking-video-guide-1210","30 percent of all cancer-related deaths are due to tobacco. Kicking the habit is vital for patients with cancer.","FXMed Team","Chronic Conditions","5 min read","draft","","",""
"Why eating too many fried foods could lead to early death [Video Guide]","why-eating-too-many-fried-foods-could-lead-to-early-death-video-guide-1211","Oils that are used to fry foods cause health problems and early death.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"A little moving goes a long way for heart health [Video Guide]","a-little-moving-goes-a-long-way-for-heart-health-video-guide-1212","Moving is good for your health. But if you just don't have time to exercise, use these tips.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Chia – it's not just a pet [Video Guide]","chia-its-not-just-a-pet-video-guide-1213","Chia is a seed you can eat that has some serious health benefits.","FXMed Team","General Wellness","5 min read","draft","","",""
"The benefits of being socially connected [Video Guide]","the-benefits-of-being-socially-connected-video-guide-1214","Hanging out with family and friends can be fun. Research also shows it benefits your mental and physical health.","FXMed Team","General Wellness","5 min read","draft","","",""
"Is a rise in teen depression linked to technology, social media? [Video Guide]","is-a-rise-in-teen-depression-linked-to-technology-social-media-video-guide-1215","Teens in the U.S. continue to experience increased rates of depression and anxiety, resulting in a rise of self-harm and death by suicide. Technology and social media may play a role.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Know the differences between adult and teen depression [Video Guide]","know-the-differences-between-adult-and-teen-depression-video-guide-1216","There are some differences in adult depression and teen depression. A mental health issue can be treated, but first it must be diagnosed.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Why blueberries are heart healthy [Video Guide]","why-blueberries-are-heart-healthy-video-guide-1217","Blueberries have a compound that can help lower your risk of heart disease.","FXMed Team","Chronic Conditions","5 min read","draft","","",""
"Why tennis is great for the heart and mind but rough on the wrist [Video Guide]","why-tennis-is-great-for-the-heart-and-mind-but-rough-on-the-wrist-video-guide-1218","Tennis is one of the healthiest sports you can play, but it can be quite rough on the wrists.","FXMed Team","Heart Health","5 min read","draft","","",""
"How weighted blankets may lift anxiety [Video Guide]","how-weighted-blankets-may-lift-anxiety-video-guide-1219","Wrapping up in a weighted blanket may reduce symptoms of anxiety.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Discover the health benefits of farro [Video Guide]","discover-the-health-benefits-of-farro-video-guide-1220","Farro is an ancient grain that resembles brown rice, and is packed with fiber, protein, vitamins, minerals and antioxidants.","FXMed Team","General Wellness","5 min read","draft","","",""
"Benefits of tending a garden [Video Guide]","benefits-of-tending-a-garden-video-guide-1221","A vegetable garden can bring more than a healthy dinner to your life.","FXMed Team","General Wellness","5 min read","draft","","",""
"3 tips for kids to get better sleep [Video Guide]","3-tips-for-kids-to-get-better-sleep-video-guide-1222","Poor sleep quality is a factor in the increasing rate of childhood obesity in the U.S. Help your kids get enough sleep with these tips.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Benefits of tending a garden [Video Guide]","benefits-of-tending-a-garden-video-guide-1223","A vegetable garden can bring more than a healthy dinner to your life.","FXMed Team","General Wellness","5 min read","draft","","",""
"Brain activities decrease risk of dementia [Video Guide]","brain-activities-decrease-risk-of-dementia-video-guide-1224","Taking part in two or more different mentally stimulating activities reduces the risk of mild cognitive impairment in participants 70 and older.","FXMed Team","General Wellness","5 min read","draft","","",""
"Can pushups predict your health? [Video Guide]","can-pushups-predict-your-health-video-guide-1225","Basic exercise, specifically the pushup, can be a useful tool for clinicians who want to evaluate cardiovascular disease risk in patients.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Complex world of carbs [Video Guide]","complex-world-of-carbs-video-guide-1226","Carbohydrates are vital for good overall health. And eating them doesn't need to be complicated, but they should be whole and complex.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Considerations when picking a family pet [Video Guide]","considerations-when-picking-a-family-pet-video-guide-1227","A companion animal, like a dog, cat, bird or rabbit, can offer more than love and affection. A pet can reduce loneliness, provide comfort and friendship.","FXMed Team","General Wellness","5 min read","draft","","",""
"Discover the health benefits of farro [Video Guide]","discover-the-health-benefits-of-farro-video-guide-1228","Farro is an ancient grain that resembles brown rice, and is packed with fiber, protein, vitamins, minerals and antioxidants.","FXMed Team","General Wellness","5 min read","draft","","",""
"Filtering coffee facts from fiction [Video Guide]","filtering-coffee-facts-from-fiction-video-guide-1229","For most healthy adults, there's no need to worry about pouring that second or third cup. Coffee is good for you.","FXMed Team","General Wellness","5 min read","draft","","",""
"How to handle extreme picky eating [Video Guide]","how-to-handle-extreme-picky-eating-video-guide-1230","It can be a fine line between normal child behavior and extreme pickiness. Extremely picky eating might be an eating disorder.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"How weighted blankets may lift anxiety [Video Guide]","how-weighted-blankets-may-lift-anxiety-video-guide-1231","Wrapping up in a weighted blanket may reduce symptoms of anxiety.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Is cbd safe to use? [Video Guide]","is-cbd-safe-to-use-video-guide-1232","Some preclinical and clinical evidence suggests that CBD may hold promise for treating conditions like chronic pain and opioid addiction. But more research on humans is needed before health care providers can say they're helpful and safe.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Meal replacement reminders [Video Guide]","meal-replacement-reminders-video-guide-1233","Meal replacement shakes and products should not replace eating or consuming whole foods, especially fruits and vegetables","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Meat myths — red vs. white [Video Guide]","meat-myths-red-vs-white-video-guide-1234","Dr. Donald Hensrud, director of the Mayo Clinic Healthy Living Program, explains whether you should opt for a steak or a piece of chicken when eating for heart health.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Practical tips for leftover foods [Video Guide]","practical-tips-for-leftover-foods-video-guide-1235","Follow these guidelines to maximize your leftovers and reduce your chance of foodborne illnesses.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Staying vital as you age [Video Guide]","staying-vital-as-you-age-video-guide-1236","While frailty is part of normal aging, there are ways to reduce your risk.","FXMed Team","Senior Health","5 min read","draft","","",""
"The trouble with fruit juice [Video Guide]","the-trouble-with-fruit-juice-video-guide-1237","In general, limit all sources of juice because they're extra calories.","FXMed Team","General Wellness","5 min read","draft","","",""
"Vaping chemicals, not water [Video Guide]","vaping-chemicals-not-water-video-guide-1238","While tobacco use remains the largest cause of preventable death and disability in the U.S., vaping concerns -; and injuries -; are on the rise.","FXMed Team","Smoking Cessation","5 min read","draft","","",""
"What are the health benefits when kids play sports? [Video Guide]","what-are-the-health-benefits-when-kids-play-sports-video-guide-1239","An important tool for keeping kids healthy is participation in youth sports, and it's not just because of the physical activity.","FXMed Team","General Wellness","5 min read","draft","","",""
"Why eating more vegetables, less meat is healthy [Video Guide]","why-eating-more-vegetables-less-meat-is-healthy-video-guide-1240","Eating a plant-based diet is better for your health, for weight, for heart disease, for cholesterol, for diabetes, for all kinds of different reasons.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Why excess belly fat is a health risk for women [Video Guide]","why-excess-belly-fat-is-a-health-risk-for-women-video-guide-1241","Having excess belly fat could put postmenopausal women at risk of serious health conditions. Even normal-weight women should pay attention to their waist measurement.","FXMed Team","Women's Health","5 min read","draft","","",""
"Avocado gets an 'a' for health benefits [Video Guide]","avocado-gets-an-a-for-health-benefits-video-guide-1242","Avocados are healthy because they contain mostly good fats.","FXMed Team","General Wellness","5 min read","draft","","",""
"Benefits of flash-frozen produce [Video Guide]","benefits-of-flash-frozen-produce-video-guide-1243","Produce that's flash-frozen may be healthier than the fruits and veggies sitting in your fridge.","FXMed Team","General Wellness","5 min read","draft","","",""
"Can the mind diet improve brain health? [Video Guide]","can-the-mind-diet-improve-brain-health-video-guide-1244","Discover the benefits of choosing brain-friendly foods.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Diet based on microbiome might improve your health [Video Guide]","diet-based-on-microbiome-might-improve-your-health-video-guide-1245","Mayo Clinic researchers are studying how the unique bacteria in your gut can determine your optimal health.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Does eating red meat affect heart health? [Video Guide]","does-eating-red-meat-affect-heart-health-video-guide-1246","Mayo Clinic cardiologist says that limiting red meat in your diet is important for heart health.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Fighting arthritis with food [Video Guide]","fighting-arthritis-with-food-video-guide-1247","What you eat may help with some of the inflammation associated with arthritis.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"How cutting calories helps your heart [Video Guide]","how-cutting-calories-helps-your-heart-video-guide-1248","Cutting calories may help improve the heart health of many adults, even if they're not overweight.","FXMed Team","Heart Health","5 min read","draft","","",""
"How to choose a healthy fat [Video Guide]","how-to-choose-a-healthy-fat-video-guide-1249","Discover a couple of quick tips on how to discern a good fat from a bad fat.","FXMed Team","General Wellness","5 min read","draft","","",""
"Rooting for potatoes [Video Guide]","rooting-for-potatoes-video-guide-1250","Prepared in the right way, these root vegetables can be a great source of vitamins and nutrients.","FXMed Team","General Wellness","5 min read","draft","","",""
"Secondhand electronic cigarette smoke [Video Guide]","secondhand-electronic-cigarette-smoke-video-guide-1251","Exposure to secondhand smoke has been linked to lung cancer and an increased risk of sudden infant death syndrome. But what about exposure to secondhand electronic cigarette smoke?","FXMed Team","Chronic Conditions","5 min read","draft","","",""
"Are meatless burgers healthy? [Video Guide]","are-meatless-burgers-healthy-video-guide-1252","Introducing plant-based foods in your diet is a good thing. But pay attention to the ingredients.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Butter versus margarine — what's the healthier spread? [Video Guide]","butter-versus-margarine-whats-the-healthier-spread-video-guide-1253","When it comes to heart health, there's a difference between butter and margarine.","FXMed Team","Heart Health","5 min read","draft","","",""
"Drink to thirst [Video Guide]","drink-to-thirst-video-guide-1254","Staying hydrated during exercise is important. And a valuable term to remember is ""drink to thirst.""","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"How optimism improves your health [Video Guide]","how-optimism-improves-your-health-video-guide-1255","Research shows that people with a positive outlook on life have healthier hearts. They may also be healthier and happier in general.","FXMed Team","Heart Health","5 min read","draft","","",""
"How positivity helps your heart [Video Guide]","how-positivity-helps-your-heart-video-guide-1256","Tips on how you can become more optimistic and decrease your risk of some heart-related illnesses.","FXMed Team","Heart Health","5 min read","draft","","",""
